"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, August 01, 2012",,
"",,,,,Occurred,,
"",Date,Time,,,,,
12-13839T,8/9,2206 hrs,8/9,2206 hrs,8/9,2322 hrs,Trespass 3rd degree,Barrett Hall,Cleared By Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-13845T,8/10,0054 hrs,8/10,0054 hrs,8/10,0054 hrs,"Minor With Alcohol In Body, Resisting Arrest",Vista Del Sol,Cleared By Arrest
12-13866T,8/10,1100 hrs,8/10,1100 hrs,8/10,1100 hrs,Trespass 3rd Degree,Memorial Union,Cleared By Arrest
12-13868P,8/10,1100 hrs,7/14,0000 hrs,8/10,1100hrs,Theft,Santan Hall,Pending
12-13878T,8/10,1404 hrs,6/29,1500 hrs,7/2,1000 hrs,Criminal Damage,Center Point,Pending
"",,,,,,,,S College Ave/E,
12-13880T,8/10,1452 hrs,8/10,1452 hrs,8/10,1452 hrs,"Driving With Suspended License,",,Cleared By Arrest
"",,,,,,,,Encanto Dr,
"",,,,,,,,Interdisciplinary,
12-13892T,8/10,1743 hrs,8/10,1000hrs,8/10,1730 hrs,Bike Theft,Science And,Pending
"",,,,,,,,Technology Building,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S Forest Ave/E,
12-13919 T,8/11,0019 hrs,8/11,0019 hrs,8/11,0019 hrs,DUI,,Cleared By Arrest
"",,,,,,,,University Dr,
12-13941T,8/11,1313 hrs,8/10,1800 hrs,8/10,2359 hrs,"Bike Theft, Criminal Damage",Palo Verde West,Pending
12-13943T,8/11,1332 hrs,8/10,2200 hrs,8/11,1300 hrs,Bike Theft,Cholla,Pending
"",,,,,,,,300 Block Of,
12-13948T,8/11,1534 hrs,8/11,1534 hrs,8/11,1534 hrs,Driving While Suspended,,Cleared By Arrest
"",,,,,,,,University Dr,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,900 Block Of Myrtle,
12-13970T,8/12,0241 hrs,8/12,0241 hrs,8/12,0241 hrs,Public Nuisance/Public Urination,,Cleared By Arrest
"",,,,,,,,Ave,
"",,,,,,,"Possession Of Stolen Property, Suspect Released And",E University Dr/ S,
12-13980T,8/12,0727 hrs,8/12,0725 hrs,8/12,0935 hrs,,,Closed
"",,,,,,,No Charges Will Be Filed,Myrtle Ave,
12-13986T,8/12,1034 hrs,8/10,2230 hrs,8/12,1034 hrs,Bike Theft,Palo Verde West,Pending
12-13988T,8/12,1243 hrs,8/10,1243 hrs,8/12,1243 hrs,2nd Degree Trespass,600 Block Of Tyler,Cleared By Arrest
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
12-14023T,8/13,1006 hrs,5/16,1700 hrs,8/1,0800 hrs,Theft,Adelphi Commons Pending
12-14024P,8/13,1050 hrs,8/10,1710 hrs,8/13,0830 hrs,Theft,Sutton Hall Pending
12-14025T,8/13,1058 hrs,8/13,1058 hrs,8/13,1157 hrs,Theft,Hayden Library Pending
12-14030T,8/13,1208 hrs,8/13,1208 hrs,8/13,1313 hrs,Theft,Parking Structure 7 Pending
12-14033T,8/13,1322 hrs,8/13,0900 hrs,8/13,1100 hrs,Bicycle Theft,Computing Commons Pending
12-14034T,8/13,1410 hrs,8/13,1130 hrs,8/13,1300 hrs,Bicycle Theft,College of Design South Pending
12-14043T,8/13,1735 hrs,8/13,0900 hrs,8/13,1700 hrs,Bicycle Theft,Lattie Coor Hall Pending
12-14044T,8/13,1754 hrs,8/13,0800 hrs,8/13,1720 hrs,Theft,Parking Lot 72 Pending
"",,,,,,,,S. Forest Ave. / E.
12-14053T,8/13,2148 hrs,8/13,2148 hrs,8/13,2248 hrs,Driving on a Suspended License,Cleared by Arrest
"",,,,,,,,Apache Blvd.
12-14057T,8/13,2155 hrs,8/13,2150 hrs,8/13,2150 hrs,Criminal Damage,Psychology Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-14069T,8/14,0233 hrs,8/14,0230 hrs,8/14,0230 hrs,Theft of Services,Parking Lot 19,Cleared by Arrest
"",,,,,,,,Physical Sciences- H,
12-14104T,8/14,1715 hrs,8/14,1400 hrs,8/14,1715 hrs,Bicycle Theft,,Pending
"",,,,,,,,Wing,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
12-14130T,8/14,2304 hrs,8/14,2306 hrs,8/15,0030 hrs,,Hassayampa Phase II,Pending
"",,,,,,,Paraphernalia,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-14152T,8/15,0907 hrs,8/13,1600 hrs,8/13,1700 hrs,Theft of Credit Card or Obtaining Credit Card by Fraud,Hayden Library,Pending
12-14156T,8/15,1055 hrs,8/14,1230 hrs,8/14,1315 hrs,Bicycle Theft,Social Sciences,Pending
12-14164T,8/15,1350 hrs,8/15,1350 hrs,8/15,1454 hrs,Criminal Damage,Parking Lot 19,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
12-14176T,8/15,1720 hrs,8/15,1720 hrs,8/15,2017 hrs,,Hassayampa Phase I,Pending
"",,,,,,,Paraphernalia,,
"",,,,,,,,43rd Ave. / Thunderbird,
12-14189W,8/15,2038 hrs,8/15,2038 hrs,8/15,2040 hrs,Driving on a Suspended License,,Cleared by Arrest
"",,,,,,,,Rd.,
12-14207T,8/15,2321 hrs,8/15,1800 hrs,8/15,2300 hrs,"Bicycle Theft, Criminal Damage",Palo Verde East,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"DUI- Alcohol, Underage Drinking and Driving, Minor",S. Rural Rd. / E.,
12-14224T,8/16,0254 hrs,8/16,0250 hrs,8/16,0625 hrs,,,Cleared by Arrest
"",,,,,,,in Consumption of Alcohol,Broadway Rd.,
12-14229T,8/16,0500 hrs,8/16,0500 hrs,8/16,0524 hrs,Minor in Consumption of Alcohol,Armstrong Hall,Cleared by Arrest
12-14235D,8/16,0814 hrs,8/16,0814 hrs,8/16,0904 hrs,Bicycle Theft,Taylor Place,Pending
"",,,,,,,,ASU Preparatory,
12-14239P,8/16,0930 hrs,5/30,0800 hrs,8/1,0800 hrs,Theft,,Pending
"",,,,,,,,Academy,
"",,,,,,,,ASU Preparatory High,
12-14240P,8/16,0930 hrs,8/8,1000 hrs,8/14,0900 hrs,Theft,,Pending
"",,,,,,,,School,
12-14254T,8/16,1352 hrs,8/15,1315 hrs,8/16,0830 hrs,Bicycle Theft,Palo Verde West,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
12-14271T,8/16,1941 hrs,8/16,1941 hrs,8/16,2155 hrs,,Parking Structure 7,Pending
"",,,,,,,"Paraphernalia, Minor in Possession of Alcohol",,
"",,,,,,,"DUI-Aggravated, Suspended for DUI; DUI-Super",,
"",,,,,,,"Extreme, BAC .20 or Higher; DUI-Extreme, BAC",E. University Dr. / S.,
12-14276T,8/16,2144 hrs,8/16,2144 hrs,8/16,2213 hrs,,,Pending
"",,,,,,,Higher than .15 but less than .20; DUI-Alcohol; DUI-,Dorsey Ln.,
"",,,,,,,BAC more than .08; Driving on a Suspended License,,
12-14284T,8/16,2251 hrs,8/16,2251 hrs,8/17,0341 hrs,Minor in Consumption of Alcohol,Hassayampa Phase I,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Under 21 with Alcohol in Body, Under 21 in Possession",,
12-14294T,8/17,0315 hrs,8/17,0315 hrs,8/17,0419 hrs,,Villas at Vista del Sol,Cleared by Arrest
"",,,,,,,"of Alcohol, Public Consumption of Alcohol",,
"",,,,,,,,E Lemon St / S Rural,
12-14299T,8/17,0512 hrs,8/17,0512 hrs,8/17,0607 hrs,Driving on Suspended License,,Cleared by Arrest
"",,,,,,,,Rd,
12-14306T,8/17,0901 hrs,6/15,1200 hrs,8/16,1300 hrs,Structure Burglary,Music West,Pending
"",,,,,,,,Bateman Physical,
12-14325T,8/17,1703 hrs,8/17,1200 hrs,8/17,1700 hrs,Bike Theft,,Pending
"",,,,,,,,Science,
"",,,,,,,"Under 21 in Possession of Alcohol, Under 21 with",,
12-14344T,8/17,2114 hrs,8/17,2114 hrs,8/17,2151 hrs,,Palo Verde West,Cleared by Arrest
"",,,,,,,Alcohol in body,,
12-14348T,8/17,2222 hrs,8/17,2222 hrs,8/17,2236 hrs,Under 21 in Possession of Alcohol,Villas at Vista del Sol,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
